,symbol,isin,name,market
0,2CRSI.PA,FR0013341781,2CRSI,Euronext Paris
1,2MX.PA,FR0014000T90,2MX ORGANIC,Euronext Paris
2,2MXBS.PA,FR0014000TB2,2MX ORGANIC BS,Euronext Paris
3,5PG.OL,DK0060945467,5TH PLANET GAMES,Euronext Expand Oslo
4,8GW.IR,IE00B1FR8863,GREAT WESTERN MIN.,Euronext Growth Dublin
5,A5G.IR,IE00BF0L3536,AIB GROUP PLC,Euronext Dublin
6,AAA.PA,FR0000062465,ALAN ALLMAN,Euronext Paris
7,AAC.PA,FR0014003PZ3,ACCOR AC SHARES,Euronext Paris
8,AACW.PA,FR0014003QK3,ACCOR AC WARRANTS,Euronext Paris
9,AALB.AS,NL0000852564,AALBERTS NV,Euronext Amsterdam
10,AASB.OL,NO0010672181,AASEN SPAREBANK,Euronext Growth Oslo
11,AB.PA,FR0010557264,AB SCIENCE,Euronext Paris
12,ABCA.PA,FR0004040608,ABC ARBITRAGE,Euronext Paris
13,ABEO.PA,FR0013185857,ABEO,Euronext Paris
14,ABI.BE,BE0974293251,AB INBEV,Euronext Brussels
15,ABIBS.PA,FR0013368438,ALBIOMA BSAAR 2018,Euronext Growth Paris
16,ABIO.PA,FR0000060402,ALBIOMA,Euronext Paris
17,ABN.AS,NL0011540547,ABN AMRO BANK N.V.,Euronext Amsterdam
18,ABNX.PA,FR0012616852,ABIONYX PHARMA,Euronext Paris
19,ABO.BE,BE0974278104,ABO GROUP,Euronext Brussels
20,ABS.OL,NO0010859580,ARCTIC BIOSCIENCE,Euronext Growth Oslo
21,ABT.OL,NO0010307135,AQUA BIO TECHNO,Euronext Expand Oslo
22,ABVX.PA,FR0012333284,ABIVAX,Euronext Paris
23,AC.PA,FR0000120404,ACCOR,Euronext Paris
24,ACA.PA,FR0000045072,CREDIT AGRICOLE,Euronext Paris
25,ACAN.PA,FR0000064602,ACANTHE DEV.,Euronext Paris
26,ACCB.BE,BE0003696102,ACCENTIS,Euronext Brussels
27,ACCEL.AS,NL0009767532,ACCELL GROUP,Euronext Amsterdam
28,ACH.OL,NO0010936081,AKER CLEAN HYDROGE,Euronext Growth Oslo
29,ACKB.BE,BE0003764785,ACKERMANS V.HAAREN,Euronext Brussels
30,ACOMO.AS,NL0000313286,AMSTERDAM COMMOD.,Euronext Amsterdam
31,ACPH.BE,GB00BYWF9Y76,ACACIA PHARMA,Euronext Brussels
32,AD.AS,NL0011794037,AHOLD DEL,Euronext Amsterdam
33,ADOC.PA,FR0011184241,ADOCIA,Euronext Paris
34,ADP.PA,FR0010340141,ADP,Euronext Paris
35,ADS.OL,CY0108052115,ADS MARITIME HOLD,Euronext Growth Oslo
36,ADUX.PA,FR0012821890,ADUX,Euronext Paris
37,ADVI.PA,FR0000053043,ADVINI,Euronext Paris
38,ADVIC.PA,FR0013296746,ADVICENNE,Euronext Paris
39,ADYEN.AS,NL0012969182,ADYEN,Euronext Amsterdam
40,AED.BE,BE0003851681,AEDIFICA,Euronext Brussels
41,AEGA.OL,NO0010626559,AEGA,Euronext Expand Oslo
42,AF.PA,FR0000031122,AIR FRANCE -KLM,Euronext Paris
43,AFISH.OL,NO0010917719,ARCTIC FISH HOLDIN,Euronext Growth Oslo
44,AFME.PA,FR0013333077,AFFLUENT MEDICAL,Euronext Paris
45,AGFB.BE,BE0003755692,AGFA-GEVAERT,Euronext Brussels
46,AGLX.OL,NO0010872468,AGILYX,Euronext Growth Oslo
47,AGN.AS,NL0000303709,AEGON,Euronext Amsterdam
48,AGS.BE,BE0974264930,AGEAS,Euronext Brussels
49,AI.PA,FR0000120073,AIR LIQUIDE,Euronext Paris
50,AIID.IR,US8730483000,T STAMP INC,Euronext Growth Dublin
51,AIR.PA,NL0000235190,AIRBUS,Euronext Paris
52,AIRX.OL,NO0010895568,AIRTHINGS,Euronext Growth Oslo
53,AJAX.AS,NL0000018034,AJAX,Euronext Amsterdam
54,AKA.PA,FR0004180537,AKKA TECHNOLOGIES,Euronext Paris
55,AKE.PA,FR0010313833,ARKEMA,Euronext Paris
56,AKOBO.OL,SE0015193412,AKOBO MINERALS,Euronext Growth Oslo
57,AKOM.PA,US00774B2088,AERKOMM INC,Euronext Paris
58,AKW.PA,FR0000053027,AKWEL,Euronext Paris
59,AKZA.AS,NL0013267909,AKZO NOBEL,Euronext Amsterdam
60,ALACT.PA,FR0014005OJ5,ACTICOR BIOTECH,Euronext Growth Paris
61,ALADA.PA,FR0000053076,ADA,Euronext Growth Paris
62,ALADM.PA,FR0010457531,ADTHINK,Euronext Growth Paris
63,ALADO.PA,FR0013247244,ADOMOS,Euronext Growth Paris
64,ALADV.PA,FR0004152874,ADVENIS,Euronext Growth Paris
65,ALAFY.PA,FR0014005AC9,AFYREN,Euronext Growth Paris
66,ALAGO.PA,FR0014004339,E PANGO,Euronext Growth Paris
67,ALAGP.PA,FR0013452281,AGRIPOWER,Euronext Growth Paris
68,ALAGR.PA,FR0010641449,AGROGENERATION,Euronext Growth Paris
69,ALAIR.PA,IT0005450819,AIRTIME,Euronext Growth Paris
70,ALALO.PA,FR0010493510,ACHETER-LOUER.FR,Euronext Growth Paris
71,ALAMA.PA,GB00BNKGZC51,AMA CORPORATION,Euronext Growth Paris
72,ALAMG.PA,FR0013410370,AUPLATA MINING GR,Euronext Growth Paris
73,ALAQU.PA,FR0010340711,AQUILA,Euronext Growth Paris
74,ALARF.PA,FR0013284627,ADEUNIS,Euronext Growth Paris
75,ALAUD.PA,FR00140059B5,AUDACIA,Euronext Growth Paris
76,ALAVY.PA,BE0974334667,AUDIOVALLEY,Euronext Growth Paris
77,ALBDM.PA,FR0000035305,BD MULTI MEDIA,Euronext Growth Paris
78,ALBFR.PA,FR0010202606,SIDETRADE,Euronext Growth Paris
79,ALBI.PA,FR0000124414,GASCOGNE,Euronext Growth Paris
80,ALBIO.PA,FR0011005933,BIOSYNEX,Euronext Growth Paris
81,ALBIZ.PA,FR0014003711,OBIZ,Euronext Growth Paris
82,ALBKK.PA,FR0013384369,BAIKOWSKI,Euronext Growth Paris
83,ALBLD.PA,FR0004174233,BILENDI,Euronext Growth Paris
84,ALBLU.PA,FR0011041011,BLUELINEA,Euronext Growth Paris
85,ALBOA.PA,FR0011365907,BOA CONCEPT,Euronext Growth Paris
86,ALBOO.PA,FR0011814938,BOOSTHEAT,Euronext Growth Paris
87,ALBOU.PA,FR0000054421,BOURRELIER GROUP,Euronext Growth Paris
88,ALBPS.PA,FR0012816825,BIOPHYTIS,Euronext Growth Paris
89,ALBUD.PA,FR0004172450,MINT,Euronext Growth Paris
90,ALCAR.PA,FR0010907956,CARMAT,Euronext Growth Paris
91,ALCBI.PA,FR0014007LW0,CBI,Euronext Growth Paris
92,ALCES.PA,FR0013297165,CESAR,Euronext Growth Paris
93,ALCG.PA,FR0013530102,CABASSE GROUP,Euronext Growth Paris
94,ALCHI.PA,FR0014000JX7,ALCHIMIE,Euronext Growth Paris
95,ALCJ.PA,FR0011716265,CROSSJECT,Euronext Growth Paris
96,ALCLA.PA,FR0004152882,CLASQUIN,Euronext Growth Paris
97,ALCLS.PA,FR0010425595,CELLECTIS,Euronext Growth Paris
98,ALCOF.PA,FR0013257409,COFIDUR,Euronext Growth Paris
99,ALCOG.PA,FR0011071570,COGRA,Euronext Growth Paris
100,ALCOI.PA,BE0160342011,COIL,Euronext Growth Paris
101,ALCOR.PA,FR0012788065,BIOCORP,Euronext Growth Paris
102,ALCRB.PA,FR0011648716,CARBIOS,Euronext Growth Paris
103,ALCUR.PA,FR0013398997,ARCURE,Euronext Growth Paris
104,ALCYB.PA,FR0014004QR6,CYBERGUN,Euronext Growth Paris
105,ALD.PA,FR0013258662,ALD,Euronext Paris
106,ALDAR.PA,FR0000185423,DAMARTEX,Euronext Growth Paris
107,ALDBL.PA,FR0000066961,BERNARD LOISEAU,Euronext Growth Paris
108,ALDBT.PA,FR0013066750,DBT,Euronext Growth Paris
109,ALDBY.PA,FR0013400991,DELTA DRONE BSA Y,Euronext Growth Paris
110,ALDEI.PA,FR0010879056,DEINOVE,Euronext Growth Paris
111,ALDEL.PA,FR0000054132,DELFINGEN,Euronext Growth Paris
112,ALDEV.PA,FR0000060840,DEVERNOIS,Euronext Growth Paris
113,ALDLS.PA,FR0010404368,D.L.S.I.,Euronext Growth Paris
114,ALDLT.PA,FR0013283108,DELTA PLUS GROUP,Euronext Growth Paris
115,ALDNE.PA,FR0013331212,DONTNOD,Euronext Growth Paris
116,ALDNX.PA,FR0010436584,DNXCORP,Euronext Growth Paris
117,ALDOL.PA,FR0014004QZ9,DOLFINES,Euronext Growth Paris
118,ALDR.PA,FR0011522168,DELTA DRONE,Euronext Growth Paris
