symbol,name,isin,sector,industry,country,exchange
3IN,,KYG6181G1055,,,,
AADR,,US00768Y2063,,,,
AAF,,INE322R01014,,,,
AAXJ,,US4642881829,,,,
ACABU,,AU000000CLZ3,,,,
ACEVW,,INE715F01014,,,,
ACKIT,,US00461L3033,,,,
ACKIU,,US00461L2043,,,,
ACWI,,US4642882579,,,,
ACWX,,US4642882405,,,,
ADRE,,US46090C3051,,,,
AEACW,,DE000A1MMEV4,,,,
AIA,,US4642884302,,,,
AIRR,,US33738R7044,,,,
AJB,,INE229B01015,,,,
AKICW,,GB00BYV31355,,,,
ANGL,,US92189F4375,,,,
ANTO,,GB0000455849,,,,
APA,,US03743Q1085,,,,
APAX,,PLAPATR00018,,,,
ASET,,US33939L7385,,,,
ASHM,,JP3118400005,,,,
ASPCW,,ROCMPSACNOR9,,,,
ATSPT,,US0395623012,,,,
ATSPU,,US0395622022,,,,
AVV,,INE461H01011,,,,
BAB,,US46138G8050,,,,
BARC,,JP3778310007,,,,
BBH,,US92189F7261,,,,
BEEMW,,NET000SPR123,,,,
BENER,,FI4000507488,,,,
BENEW,,FI4000507488,,,,
BFIT,,US37954Y7985,,,,
BGRYW,,GB00BVDPPV41,,,,
BIB,,US74347R2141,,,,
BICK,,US33733H1077,,,,
BIFF,,ROBIOFACNOR9,,,,
BIOTW,,NET000CABIO1,,,,
BIS,,US74347B7890,,,,
BJK,,US92189F8822,,,,
BLEUU,,KYG117281215,,,,
BMAQR,,DE000A0M93V6,,,,
BND,,US9219378356,,,,
BNDX,,US92203J4076,,,,
BNGO,,US09075F1075,,,,
BNKR,,ID1000099708,,,,
BOTZ,,US37954Y7159,,,,
BRBY,,AU000000BBN2,,,,
BRLIR,,DE0005272702,,,,
BRLIW,,DE0005272702,,,,
BRPMW,,SE0002016352,,,,
BRSC,,FR0004034320,,,,
BSCM,,US46138J8826,,,,
BSCN,,US46138J8669,,,,
BSCO,,US46138J8412,,,,
BSCP,,US46138J8255,,,,
BSCQ,,US46138J7919,,,,
BSGAR,,FI4000507488,,,,
BSJM,,US46138J8743,,,,
BSJN,,US46138J8586,,,,
BSJO,,US46138J8339,,,,
BTEC,,US74255Y4098,,,,
BTWNW,,AU000000TTA3,,,,
BYG,,NO0003087603,,,,
CARZ,,US33734X3098,,,,
CATH,,US37954Y8892,,,,
CCC,,PLCCC0000016,,,,
CCH,,SG2B96959558,,,,
CCR,,FR0000045346,,,,
CDC,,US92647N8240,,,,
CFA,,US92647N7663,,,,
CFO,,US92647N7820,,,,
CHRY,,AU000000PIL1,,,,
CIBR,,US33734X8469,,,,
CIL,,US92647N8406,,,,
CIZ,,US92647N8166,,,,
CMAXW,,GB00BNLPYF73,,,,
CMCAU,,KYG1889L1187,,,,
CMCX,,JP3347170007,,,,
CNCR,,US26922A8264,,,,
CNGLU,,US13767K2006,,,,
COA,,DE000A0WMJQ4,,,,
CPI,,US45409B6020,,,,
CSA,,US92647N8323,,,,
CSB,,US92647N8737,,,,
CSF,,US92647N7747,,,,
CSSEN,,PLENTER00017,,,,
CTAQW,,FI4000507488,,,,
CXSE,,US97717X7194,,,,
DARK,,INE830S01014,,,,
DAX,,US37954Y4917,,,,
DCC,,INE132E01015,,,,
DEC,,INE132E01015,,,,
DGRE,,US97717W3236,,,,
DGRS,,US97717X6519,,,,
DGRW,,US97717X6691,,,,
DLG,,JP3548760002,,,,
DLN,,US97717W3079,,,,
DRX,,JP3282750003,,,,
DSY.PA,,FR0000033243,,,,
DUNEW,,KYG3166N1060,,,,
DVY,,US4642871689,,,,
DWAS,,US46138E8425,,,,
DWAT,,US0427657921,,,,
DXGE,,US97717W4481,,,,
DXJS,,US97717W5215,,,,
EBOX,,NET000EVBOX7,,,,
EDTXW,,JP3533300004,,,,
EDV,,US9219107094,,,,
EEMA,,US4642864262,,,,
EFAS,,US37954Y6995,,,,
ELM,,CH0005319162,,,,
EMB,,US4642882819,,,,
EMCB,,US97717X7848,,,,
EMXC,,FR0014004339,,,,
ENCP,,JP3435700004,,,,
ENCPU,,KYG304491130,,,,
ENNVW,,AU0000067514,,,,
ENOG,,FR0014004974,,,,
ENT,,NET000ENTRA9,,,,
ENVIW,,ROIMPCACNOR0,,,,
ENZL,,US4642891232,,,,
ERESW,,AU000000EER1,,,,
ESGD,,US46435G5163,,,,
ESGE,,US46434G8630,,,,
ESGU,,US46435G4257,,,,
EUFN,,US4642891802,,,,
EVGBC,,INE554H01021,,,,
EVSTC,,US27830G6089,,,,
EWI,,US46434G8309,,,,
EWZS,,US4642891315,,,,
EXPN,,FR0004177046,,,,
EZJ,,US74347X7084,,,,
FAAR,,US33740Y1010,,,,
FAB,,US33733C1080,,,,
FAD,,US33733F1012,,,,
FALN,,US46435G4745,,,,
FAN,,US33736G1067,,,,
FBZ,,US33737J1337,,,,
FCA,,US33737J1410,,,,
FCEF,,US33740F4090,,,,
FCVT,,US33739Q5071,,,,
FDIV,,US33739Q3092,,,,
FDM,,US33718M1053,,,,
FDT,,US33737J1741,,,,
FDTS,,CA04315L7097,,,,
FEM,,US33737J1824,,,,
FEP,,US33737J1170,,,,
FEUZ,,US33737J5056,,,,
FEX,,US33734K1097,,,,
FEXD,,JP3802830004,,,,
FEXDR,,JP3802830004,,,,
FEXDU,,US3181362076,,,,
FFIEW,,IT0005023038,,,,
FGM,,US33737J1907,,,,
FGP,,INE512A01016,,,,
FGT,,JP3166940001,,,,
FINMW,,BG1100006979,,,,
FINX,,US37954Y8140,,,,
FIXD,,US33740F8059,,,,
FJP,,US33737J1584,,,,
FLACW,,INE563J01010,,,,
FLN,,US33737J1253,,,,
FLTR,,US92189F4862,,,,
FMB,,US33739N1081,,,,
FNK,,US33737M2017,,,,
FNX,,US33735B1089,,,,
FNY,,US33737M1027,,,,
FOXWW,,INE735G01010,,,,
FPA,,US33737J1097,,,,
FPXI,,US33734X8535,,,,
FRAS,,INE184Q01010,,,,
FSSIW,,AU0000064552,,,,
FSZ,,US33737J2327,,,,
FTA,,US33735J1016,,,,
FTAG,,US33734X8121,,,,
FTC,,US33735K1088,,,,
